Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
Suzuki,Used,CNG,1,Cultus VX,400000,Karachi,Cash,2002
Suzuki,Used,Petrol,100000,Cultus VXR,360000,Karachi,Cash,2001
Toyota,New,Petrol,69000,Vitz,1150000,Karachi,Cash,2003
Suzuki,New,CNG,65000,Mehran VX,265000,Karachi,Cash,2005
Suzuki,New,CNG,73000,Mehran VXR,435000,Karachi,Cash,2009
Toyota,Used,Petrol,163000,Corolla GLI,1220000,Karachi,Cash,2009
Suzuki,Used,CNG,56,Cultus VXR,780000,Karachi,Cash,2011
Suzuki,Used,CNG,10000,Bolan,250000,Karachi,Cash,1987
Toyota,Used,Petrol,190,Corrolla Altis,875000,Karachi,Cash,2004
Toyota,Used,CNG,65000,Corolla XLI,1260000,Karachi,Cash,2013
Suzuki,Used,Petrol,65000,Cultus VXR,840000,Karachi,Cash,2013
Suzuki,Used,CNG,174000,Alto,350000,Karachi,Cash,2004
Suzuki,Used,Petrol,5458,Baleno,380000,Karachi,Cash,2001
Suzuki,Used,Petrol,90000,Alto,340000,Karachi,Cash,2007
Daihatsu,Used,Petrol,88000,Mira,1050000,Karachi,Cash,2013
Toyota,Used,CNG,200000,Vitz,730000,Karachi,Cash,2006
Suzuki,Used,CNG,28800,Mehran VXR,195000,Karachi,Cash,1995
Honda,New,Petrol,95000,Civic VTi Oriel Prosmatec,1070000,Karachi,Cash,2007
Daihatsu,Used,CNG,71000,Cuore,410000,Karachi,Cash,2001
Daihatsu,Used,CNG,100,Charade,155000,Karachi,Cash,1984
Suzuki,Used,CNG,1,Margalla,320000,Karachi,Cash,1994
Toyota,Used,Diesel,134000,Corolla 2.0 D,1080000,Karachi,Cash,2010
Suzuki,Used,CNG,1,Bolan,290000,Karachi,Cash,1993
Toyota,Used,Petrol,123456,Corolla XE,570000,Karachi,Cash,1998
Toyota,Used,Petrol,92000,Surf,4150000,Karachi,Cash,2007
Suzuki,Used,CNG,1,FX,90000,Karachi,Cash,1988
Suzuki,New,Petrol,36000,Mehran VXR,590000,Karachi,Cash,2015
Toyota,Used,Petrol,40000,Corolla GLI,1740000,Karachi,Cash,2015
Toyota,Used,Petrol,85010,Corolla GLI,916000,Karachi,Cash,2004
Daihatsu,New,Petrol,153736,Cuore,535000,Karachi,Cash,2006
Suzuki,Used,CNG,17000,Mehran VX,110000,Hyderabad,Cash,1991
Honda,Used,Petrol,100000,City IDSI,765000,Karachi,Cash,2004
Toyota,Used,Petrol,130000,Premio,1150000,Karachi,Cash,2003
Suzuki,Used,Petrol,150000,Alto,410000,Karachi,Cash,2007
Suzuki,Used,CNG,17000,Mehran VX,110000,Hyderabad,Cash,1991
Honda,Used,Petrol,100000,City IDSI,765000,Karachi,Cash,2004
Toyota,Used,Petrol,130000,Premio,1150000,Karachi,Cash,2003
Suzuki,Used,Petrol,150000,Alto,410000,Karachi,Cash,2007
Toyota,Used,Petrol,55000,Corolla GLI,1890000,Karachi,Cash,2016
Suzuki,Used,Petrol,70000,Cultus VXR,790000,Karachi,Cash,2011
Daihatsu,Used,Petrol,102000,Mira,785000,Karachi,Cash,2011
Suzuki,Used,Petrol,1700000,Mehran VX,270000,Karachi,Cash,2006
Toyota,Used,CNG,100000,Sprinter,150000,Karachi,Cash,1987
BMW,Used,CNG,53524,3 Series,550000,Karachi,Cash,1997
Mazda,Used,Petrol,78000,Other,825000,Karachi,Cash,2007
Toyota,Used,Diesel,40000,Hilux,3850000,Karachi,Cash,2013
Suzuki,Used,Petrol,90000,Mehran VXR,490000,Karachi,Cash,2012
Toyota,Used,Petrol,40000,Vitz,1250000,Karachi,Cash,2010
Daihatsu,Used,Petrol,80000,Charade,135000,Karachi,Cash,1986
Mitsubishi,New,Petrol,96000,Lancer,780000,Karachi,Cash,2008
Other Brands,Used,Diesel,38000,Other,4500000,Karachi,Cash,2012
Suzuki,Used,Petrol,83000,Alto,430000,Karachi,Cash,2006
Honda,New,Petrol,10900,Civic VTi Oriel Prosmatec,2880000,Karachi,Cash,2017
Toyota,Used,Petrol,64600,Passo,975000,Karachi,Cash,2007
Suzuki,Used,Petrol,80000,Cultus VXR,440000,Karachi,Cash,2004
Suzuki,Used,CNG,85000,Cultus VXR,440000,Karachi,Cash,2007
Suzuki,Used,CNG,52000,Mehran VXR,400000,Karachi,Cash,2008
Suzuki,Used,CNG,1,Bolan,305000,Karachi,Cash,1997
Suzuki,Used,Petrol,48000,Mehran VX,450000,Karachi,Cash,2012
Suzuki,Used,Petrol,50000,Swift,1140000,Karachi,Cash,2015
Suzuki,New,Petrol,13300,Mehran VX,680000,Karachi,Cash,2017
Suzuki,Used,CNG,25000,Alto,335000,Karachi,Cash,2004
Toyota,Used,Petrol,74000,Estima,3350000,Karachi,Cash,2010
Suzuki,Used,Petrol,65000,Mehran VXR,405000,Karachi,Cash,2011
Toyota,Used,Petrol,1991,Prado,1150000,Karachi,Cash,1991
Suzuki,Used,Petrol,4200,Alto,450000,Karachi,Cash,2006
Suzuki,Used,Petrol,25000,Cultus VXR,865000,Karachi,Cash,2014
Suzuki,Used,Petrol,52000,Mehran VXR,400000,Karachi,Cash,2008
Toyota,Used,Petrol,60000,Passo,1090000,Karachi,Cash,2010
Suzuki,New,CNG,125463,Mehran VXR,300000,Karachi,Cash,2009
Suzuki,New,CNG,76000,Cultus VXR,440000,Karachi,Cash,2000
Honda,Used,Petrol,132000,Civic VTi,750000,Karachi,Cash,2000
Honda,Used,Petrol,17500,Vamos,820000,Karachi,Installment/Leasing,2011
Toyota,Used,CNG,186000,Starlet,250000,Karachi,Cash,1986
Daihatsu,Used,CNG,62000,Cuore,425000,Karachi,Cash,2005
Suzuki,New,Hybrid,62000,Mehran VXR,373000,Karachi,Cash,2010
Toyota,Used,Hybrid,88000,Prius,2500000,Karachi,Cash,2013
Chevrolet,Used,Petrol,100000,Joy,320000,Karachi,Cash,2006
Toyota,Used,Petrol,250000,Vitz,765000,Karachi,Cash,2000
Toyota,New,Diesel,62,Hilux,5350000,Karachi,Cash,2018
Daihatsu,Used,CNG,100000,Charade,200000,Karachi,Cash,1986
Honda,Used,Petrol,85575,City IVTEC,1160000,Karachi,Cash,2010
Toyota,Used,Petrol,100000,Passo,9000000,Karachi,Cash,2007
Mazda,Used,CNG,10000,323,55000,Karachi,Cash,1981
Toyota,Used,Petrol,77000,Corrolla Altis,1110000,Karachi,Cash,2010
Suzuki,Used,CNG,89000,Alto,570000,Karachi,Cash,2011
Toyota,New,Hybrid,83000,Prius,2830000,Karachi,Cash,2015
Suzuki,Used,CNG,65000,Cultus VXR,740000,Karachi,Cash,2011
Suzuki,Used,Petrol,1,Alto,320000,Karachi,Cash,2009
Suzuki,Used,Petrol,138000,Liana,560000,Karachi,Cash,2007
Suzuki,Used,Petrol,111000,Cultus VXR,750000,Karachi,Cash,2011
Suzuki,Used,CNG,60000,Cultus VXL,690000,Karachi,Cash,2009
Honda,Used,Petrol,60000,City IVTEC,1095000,Karachi,Cash,2009
Toyota,Used,Petrol,80000,Corolla GLI,1400000,Karachi,Cash,2011
Suzuki,Used,CNG,100,Mehran VX,145000,Karachi,Cash,1991
Honda,Used,Petrol,59000,Civic Prosmetic,1710000,Karachi,Cash,2014
Toyota,Used,CNG,8000000,Corolla XLI,900000,Karachi,Cash,2007
Toyota,Used,Petrol,11750,Corrolla Altis,2175000,Karachi,Cash,2016
Toyota,Used,CNG,13700,Other,105000,Karachi,Cash,1978
Honda,Used,Petrol,12345,Other,485000,Karachi,Cash,2007
Honda,Used,Petrol,70000,Civic VTi Oriel Prosmatec,1350000,Bagh,Cash,2009
Daihatsu,New,Petrol,67000,Mira,1100000,Karachi,Cash,2014
Suzuki,Used,Petrol,1,Khyber,260000,Karachi,Cash,1999
Honda,Used,Petrol,80000,City IVTEC,1080000,Karachi,Cash,2010
Daewoo,Used,Petrol,100042,Racer,210000,Karachi,Cash,1994
Suzuki,Used,CNG,100000,Mehran VX,170000,Karachi,Cash,1989
Toyota,Used,Petrol,70000,Corolla GLI,1250000,Karachi,Cash,2010
Toyota,Used,Petrol,118000,Corrolla Altis,1320000,Karachi,Cash,2011
Honda,Used,Petrol,132000,Civic Prosmetic,1000000,Karachi,Cash,2007
Suzuki,New,Petrol,1,Other,1150000,Karachi,Cash,2008
Honda,Used,CNG,100000,City IDSI,785000,Karachi,Cash,2006
Nissan,Used,CNG,6000000,Sunny,220000,Karachi,Cash,1991
Suzuki,Used,Petrol,1,Alto,450000,Karachi,Cash,2007
Honda,Used,CNG,200000,Accord,290000,Karachi,Cash,1986
Suzuki,Used,CNG,70000,Cultus VXR,825000,Karachi,Cash,2011
Toyota,New,Hybrid,83000,Prius,2830000,Karachi,Cash,2015
Suzuki,Used,CNG,138000,Alto,430000,Sukkar,Cash,2010
Honda,Used,Petrol,54000,Zest,950000,Karachi,Cash,2011
Nissan,Used,Petrol,100000,AD Van,930000,Karachi,Cash,2007
Suzuki,New,Petrol,26000,APV,1275000,Karachi,Cash,2014
Honda,New,Petrol,80000,Civic Prosmetic,760000,Karachi,Cash,2003
Toyota,Used,Petrol,160000,Vitz,980000,Karachi,Cash,2012
Toyota,Used,Petrol,100000,Passo,855000,Karachi,Cash,2007
Suzuki,Used,CNG,786110,Khyber,210000,Karachi,Cash,1996
Suzuki,Used,CNG,80000,Cultus VXR,600000,Karachi,Cash,2009
Suzuki,Used,CNG,25,FX,68000,Karachi,Cash,1986
Suzuki,Used,CNG,20000,Cultus VXR,520000,Karachi,Cash,2006
Nissan,Used,Petrol,103400,March,500000,Karachi,Cash,2008
Honda,Used,Petrol,17000,Civic EXi,700000,Karachi,Cash,2004
Suzuki,Used,CNG,82000,Cultus VXL,580000,Karachi,Cash,2006
Daihatsu,Used,Petrol,91000,Cuore,350000,Karachi,Cash,2000
Suzuki,Used,CNG,100000,Khyber,225000,Karachi,Cash,1996
Toyota,Used,Petrol,45000,Corolla XLI,1625000,Karachi,Cash,2014
Suzuki,Used,Petrol,86580,Bolan,500000,Karachi,Cash,2007
Suzuki,Used,Hybrid,100000,Khyber,260000,Karachi,Cash,1991
KIA,Used,CNG,17,Pride,118000,Karachi,Cash,1996
Suzuki,Used,Petrol,67000,Alto,535000,Karachi,Cash,2008
Suzuki,Used,CNG,13,Bolan,168000,Karachi,Cash,1986
Honda,Used,Petrol,200000,City IDSI,650000,Karachi,Cash,2005
KIA,Used,CNG,1,Sportage,220000,Karachi,Cash,2000
Toyota,Used,CNG,170000,Other,320000,Karachi,Cash,1988
Honda,Used,Petrol,1234,Civic EXi,95000,Karachi,Cash,1985
Daihatsu,Used,CNG,78000,Terios Kid,700000,Karachi,Cash,2000
Daihatsu,Used,Petrol,186000,Cuore,585000,Karachi,Cash,2010
Toyota,Used,Petrol,99600,Corolla GLI,1525000,Karachi,Cash,2012
Hyundai,Used,CNG,88000,Santro,440000,Karachi,Cash,2006
Suzuki,Used,LPG,12345,Carry,150000,Karachi,Cash,1981
Honda,Used,Hybrid,69000,Fit,1730000,Karachi,Cash,2013
Toyota,Used,Hybrid,120000,Prius,2000000,Karachi,Cash,2014
Honda,Used,CNG,1254,Civic EXi,545000,Karachi,Cash,2001
Suzuki,Used,CNG,100000,Alto,425000,Karachi,Cash,2005
Suzuki,Used,CNG,11111,Khyber,170000,Karachi,Cash,1998
Suzuki,Used,Petrol,70000,Cultus VXR,830000,Karachi,Cash,2012
Suzuki,Used,CNG,12,Mehran VX,155000,Karachi,Cash,1994
Suzuki,Used,CNG,123,Mehran VX,120000,Karachi,Cash,1992
Suzuki,New,CNG,53000,Khyber,130000,Karachi,Cash,1992
Suzuki,Used,CNG,1,Mehran VXR,190000,Karachi,Cash,1992
Suzuki,Used,CNG,60000,Khyber,230000,Karachi,Cash,1997
Daihatsu,Used,CNG,124,Cuore,293000,Karachi,Cash,2002
Daihatsu,Used,Petrol,49000,Mira,1100000,Karachi,Cash,2013
Suzuki,Used,Petrol,1,Margalla,300000,Karachi,Cash,1993
Suzuki,Used,Petrol,50000,FX,55000,Karachi,Cash,1984
Toyota,New,CNG,10000,Corolla GLI,685000,Karachi,Cash,1999
FAW,Used,Petrol,16900,V2,975000,Karachi,Cash,2016
Daewoo,Used,CNG,100000,Racer,225000,Karachi,Cash,1994
Suzuki,Used,CNG,50000,Mehran VX,370000,Karachi,Cash,2012
Suzuki,Used,Petrol,35955,Alto,510000,Karachi,Cash,2008
Honda,Used,Petrol,131389,City Aspire,930000,Karachi,Cash,2006
Toyota,Used,Petrol,1,Corolla XLI,250000,Karachi,Cash,1980
Suzuki,Used,Hybrid,786,Mehran VX,310000,Karachi,Cash,2006
Suzuki,Used,Petrol,116500,Alto,425000,Karachi,Cash,2006
Suzuki,New,CNG,34000,Alto,750000,Karachi,Cash,2011
Suzuki,New,Petrol,1,Cultus VXL,580000,Bahawalnagar,Cash,2008
Honda,Used,CNG,1160000,Civic VTi Oriel,600000,Karachi,Cash,2001
Suzuki,Used,CNG,112000,Cultus VXL,560000,Karachi,Cash,2018
Toyota,Used,Petrol,72000,Vitz,1275000,Karachi,Cash,2012
Daihatsu,Used,CNG,200000,Charade,130000,Karachi,Cash,1983
Hyundai,Used,CNG,80000,Santro,365000,Karachi,Cash,2006
Toyota,Used,Petrol,30000,Corolla GLI,300000,Karachi,Installment/Leasing,2012
Suzuki,Used,CNG,10,Cultus VXL,540000,Karachi,Cash,2005
Honda,Used,Petrol,25000,BR-V,500000,Karachi,Installment/Leasing,2013
Hyundai,Used,Petrol,10010,Santro,330000,Karachi,Cash,2005
Suzuki,Used,CNG,110000,Cultus VXR,510000,Karachi,Cash,2000
Nissan,Used,Petrol,30000,Dayz Highway Star,1450000,Karachi,Cash,2016
Suzuki,Used,Petrol,82000,Kei,995000,Karachi,Cash,2015
Toyota,Used,Petrol,97000,Probox,1100000,Karachi,Cash,2007
Daihatsu,Used,CNG,100000,Charade,130000,Karachi,Cash,1991
Daihatsu,New,Petrol,127111,Hijet,785000,Karachi,Cash,2012
Toyota,Used,CNG,786786,86,195000,Karachi,Cash,1986
Suzuki,Used,CNG,55000,Alto,300000,Karachi,Cash,2012
Suzuki,Used,CNG,99000,Mehran VX,315000,Karachi,Cash,2007
Daihatsu,Used,Petrol,75000,Hijet,690000,Karachi,Cash,2010
Suzuki,Used,CNG,1,Mehran VX,165000,Karachi,Cash,1991
Honda,Used,Petrol,100000,Civic VTi Oriel Prosmatec,1750000,Karachi,Cash,2013
Suzuki,Used,CNG,500000,Bolan,490000,Karachi,Cash,2007
Suzuki,Used,CNG,1,Khyber,265000,Karachi,Cash,1999
Daihatsu,Used,Petrol,1,Cuore,550000,Karachi,Cash,2006
Daihatsu,Used,Petrol,20000,Mira,1260000,Karachi,Cash,2015
Honda,Used,Petrol,82500,Civic VTi Oriel Prosmatec,1079000,Karachi,Cash,2007
Suzuki,Used,CNG,140000,Cultus VXR,530000,Karachi,Cash,2006
Suzuki,Used,CNG,200000,FX,90000,Karachi,Cash,1983
Daihatsu,Used,CNG,1525555,Charade,150000,Karachi,Cash,1984
Suzuki,Used,Petrol,78000,Alto,550000,Karachi,Cash,2008
Suzuki,Used,Petrol,33937,Other,260000,Karachi,Cash,1993
Honda,Used,Petrol,126000,City IDSI,600000,Karachi,Cash,2005
Daihatsu,Used,CNG,100000,Charade,245000,Karachi,Cash,1986
Suzuki,Used,CNG,155000,Baleno,500000,Karachi,Cash,2005
Suzuki,Used,Petrol,96000,Alto,1040000,Karachi,Cash,2015
Suzuki,Used,CNG,112000,Alto,580000,Karachi,Cash,2010
Honda,Used,Petrol,150000,Civic EXi,600000,Karachi,Cash,2001
Toyota,Used,Petrol,60000,Passo,975000,Karachi,Cash,2008
Daihatsu,Used,CNG,150000,Cuore,340000,Karachi,Cash,2007
Toyota,Used,Petrol,1234,Other,500000,Karachi,Cash,1982
Daihatsu,Used,CNG,95000,Cuore,465000,Karachi,Cash,2005
Daihatsu,Used,CNG,85236,Cuore,150000,Karachi,Cash,1993
Toyota,Used,Petrol,74000,Vitz,910000,Karachi,Cash,2005
Toyota,Used,Petrol,25000,Yaris,280000,Karachi,Installment/Leasing,2015
Toyota,Used,Hybrid,56000,Aygo,1975000,Karachi,Cash,2014
Toyota,Used,Petrol,1,Vitz,930000,Karachi,Cash,2007
Suzuki,Used,Petrol,62000,Cultus VXR,860000,Karachi,Cash,2014
Toyota,Used,Petrol,74000,Rush,1600000,Karachi,Cash,2007
Daihatsu,Used,Petrol,80000,Hijet,725000,Karachi,Cash,2015
Suzuki,New,CNG,356425,Margalla,240000,Karachi,Cash,1993
Suzuki,Used,CNG,52000,FX,140000,Karachi,Cash,1985
Daihatsu,Used,Petrol,1234567,Mira,965000,Karachi,Cash,2014
Suzuki,Used,CNG,1,Mehran VX,120000,Karachi,Cash,1989
Toyota,Used,Hybrid,120000,Prius,2000000,Karachi,Cash,2010
Honda,Used,Petrol,89000,Civic VTi Oriel Prosmatec,2325000,Karachi,Cash,2016
Nissan,Used,Petrol,44000,Dayz,1120000,Karachi,Cash,2015
Toyota,Used,Petrol,125000,Vitz,950000,Karachi,Cash,2008
Suzuki,Used,Petrol,57000,Alto,960000,Karachi,Cash,2016
Toyota,Used,Petrol,35000,Fortuner,210000,Karachi,Installment/Leasing,2011
Daihatsu,New,Petrol,29800,Mira,1140000,Karachi,Cash,2015
Daihatsu,Used,CNG,10000000,Charade,60000,Lahore,Cash,1984
Toyota,New,Petrol,1000,Passo,795000,Karachi,Cash,2007
Toyota,Used,CNG,99000,Corolla GLI,1135000,Karachi,Cash,2009
Suzuki,Used,Petrol,82000,Cultus VXR,785000,Karachi,Cash,2012
Suzuki,Used,CNG,1,Bolan,365000,Karachi,Cash,1997
Suzuki,Used,Petrol,100000,Every,960000,Karachi,Cash,2014
Daihatsu,Used,Petrol,1,Other,200000,Karachi,Cash,1986
Toyota,Used,Petrol,120000,Corolla XLI,800000,Karachi,Cash,2006
Suzuki,Used,CNG,77000,Alto,405000,Karachi,Cash,2004
Daihatsu,New,Petrol,38000,Mira,1250000,Karachi,Cash,2014
Suzuki,Used,CNG,100000,Cultus VXR,650000,Karachi,Cash,2008
Suzuki,Used,CNG,95410,Cultus VXR,695000,Karachi,Cash,2012
Suzuki,Used,CNG,82000,Alto,535000,Karachi,Cash,2008
Suzuki,Used,CNG,100000,Alto,465000,Karachi,Cash,2007
Suzuki,Used,CNG,12500,Liana,600000,Karachi,Cash,2008
Daihatsu,Used,Petrol,22500,Mira,1250000,Karachi,Cash,2016
Honda,Used,Petrol,150000,Civic EXi,820000,Karachi,Cash,2004
Suzuki,Used,Petrol,100000,Alto,450000,Karachi,Cash,2007
Daihatsu,Used,Petrol,92000,Cuore,600000,Karachi,Cash,2006
Toyota,Used,Petrol,100000,Camry,1650000,Karachi,Cash,2006
Toyota,Used,Petrol,150000,Corrolla Altis,1550000,Karachi,Cash,2011
Suzuki,Used,Petrol,44000,Cultus VXR,860000,Karachi,Cash,2013
Toyota,Used,CNG,270000,Corolla XLI,950000,Karachi,Cash,2006
Suzuki,New,Petrol,68500,Swift,1165000,Karachi,Cash,2011
Toyota,New,Petrol,35000,Prado,7550000,Karachi,Cash,2013
Suzuki,Used,CNG,10,Alto,510000,Karachi,Cash,2005
Toyota,Used,CNG,12345,Corolla XE,570000,Karachi,Cash,1998
Suzuki,Used,CNG,74000,Swift,215000,Karachi,Cash,1989
Toyota,New,Petrol,36000,Aqua,1650000,Karachi,Cash,2015
Suzuki,Used,CNG,48000,Cultus VXL,570000,Karachi,Cash,2006
Suzuki,Used,Petrol,100000,Mehran VXR,400000,Karachi,Cash,2010
Honda,New,CNG,153000,Civic EXi,450000,Karachi,Cash,1998
Toyota,Used,Petrol,76000,Vitz,1060000,Karachi,Cash,2009
Hyundai,Used,CNG,100000,Santro,500000,Karachi,Cash,2001
Nissan,Used,Petrol,15000,Dayz,1200000,Karachi,Cash,2015
Suzuki,Used,CNG,1515151,Mehran VX,315000,Karachi,Cash,2008
Toyota,New,CNG,105000,Corolla Assista,1125000,Karachi,Cash,2002
Toyota,Used,Petrol,26000,Corolla GLI,1810000,Karachi,Cash,2016
Honda,Used,CNG,1,City IVTEC,520000,Karachi,Cash,2000
Hyundai,Used,CNG,70000,Santro,270000,Karachi,Cash,2001
Honda,Used,Petrol,1234,Civic EXi,380000,Karachi,Cash,1999
Honda,Used,Petrol,117000,City IDSI,860000,Karachi,Cash,2007
Suzuki,Used,Petrol,52000,Mehran VX,280000,Karachi,Cash,1998
Toyota,New,Hybrid,42850,Aqua,1900000,Karachi,Cash,2015
Daihatsu,New,Petrol,8400,Mira,1225000,Karachi,Cash,2015
Honda,Used,Petrol,74000,Civic VTi Oriel Prosmatec,1375000,Karachi,Cash,2011
Toyota,New,Petrol,9000,Corrolla Altis,2835000,Karachi,Cash,2017
Daihatsu,New,Petrol,35000,Mira,1250000,Karachi,Cash,2013
Toyota,Used,Petrol,1234,Sera,575000,Karachi,Cash,1990
Honda,Used,Petrol,44000,Civic VTi Oriel Prosmatec,1660000,Karachi,Cash,2012
Suzuki,Used,Petrol,87000,Cultus VXR,660000,Karachi,Cash,2009
Honda,Used,CNG,100000,City IDSI,775000,Karachi,Cash,2006
Suzuki,Used,CNG,1,Khyber,260000,Karachi,Cash,1999
Suzuki,Used,CNG,59000,Cultus VXR,865000,Karachi,Cash,2013
Suzuki,Used,CNG,100000,FX,120000,Karachi,Cash,1985
Suzuki,Used,Petrol,80000,Carry,825000,Karachi,Cash,2012
Daihatsu,Used,Petrol,88000,Hijet,810000,Karachi,Cash,2012
Toyota,Used,Petrol,1,Vitz,850000,Karachi,Cash,2009
Mitsubishi,Used,CNG,100000,Lancer,750000,Karachi,Cash,2005
Suzuki,Used,CNG,100000,FX,120000,Karachi,Cash,1988
Daihatsu,New,Petrol,60000,Mira,920000,Karachi,Cash,2014
Honda,New,Petrol,139000,Acty,625000,Karachi,Cash,2010
Honda,New,Petrol,69000,Civic VTi Oriel Prosmatec,1850000,Karachi,Cash,2014
Daihatsu,Used,CNG,545,Cuore,320000,Karachi,Cash,2000
Suzuki,New,Petrol,19800,Cultus VXL,1400000,Karachi,Cash,2018
Suzuki,Used,Petrol,69000,Bolan,290000,Askoley,Cash,1994
Suzuki,Used,CNG,123,Bolan,330000,Karachi,Cash,1997
Other Brands,Used,Petrol,69000,Other,685000,Karachi,Cash,2006
Toyota,Used,Petrol,150000,Corolla XE,565000,Karachi,Cash,1992
Nissan,Used,Petrol,44400,Moco,1220000,Karachi,Cash,2014
Daihatsu,New,Petrol,28000,Mira,1170000,Karachi,Cash,2017
Suzuki,Used,Petrol,90000,Mehran VX,140000,Karachi,Cash,2006
Toyota,Used,Petrol,74516,Corolla GLI,1315000,Karachi,Cash,2011
Suzuki,Used,CNG,200000,Khyber,200000,Karachi,Cash,1992
Suzuki,Used,Petrol,333333,Khyber,235000,Karachi,Cash,1989
Suzuki,Used,CNG,1,Mehran VX,300000,Karachi,Cash,2005
Suzuki,Used,CNG,89300,Alto,534999,Karachi,Cash,2010
Suzuki,Used,Petrol,71000,Alto,520000,Karachi,Cash,2008
Suzuki,Used,CNG,125000,Cultus VXR,400000,Karachi,Cash,2000
Daihatsu,Used,Petrol,22000,Mira,1170000,Karachi,Cash,2014
Suzuki,Used,Petrol,78000,Cultus VXR,770000,Karachi,Cash,2012
Suzuki,Used,Petrol,1234,Mehran VXR,260000,Karachi,Cash,1993
Suzuki,Used,CNG,100000,Khyber,240000,Karachi,Cash,1995
Suzuki,Used,Petrol,750000,Every,820000,Karachi,Cash,2010
Suzuki,New,CNG,97500,Khyber,360000,Karachi,Cash,1997
Suzuki,Used,Petrol,30000,Cultus VXR,575000,Khanpur,Cash,2007
Honda,Used,CNG,120000,City IDSI,530000,Karachi,Cash,2002
KIA,New,CNG,198000,Pride,250000,Karachi,Cash,1996
Suzuki,Used,CNG,1000,Margalla,285000,Karachi,Cash,1997
Suzuki,Used,CNG,1,Khyber,235000,Karachi,Cash,1990
Toyota,Used,Petrol,84000,Corolla GLI,1125000,Karachi,Cash,2011
Suzuki,Used,Petrol,20000,Wagon R,1260000,Karachi,Cash,2017
Toyota,New,Hybrid,30500,Aqua,1865000,Karachi,Cash,2014
Suzuki,Used,CNG,1,Bolan,350000,Karachi,Cash,1997
Suzuki,Used,Petrol,1,Baleno,425000,Karachi,Cash,2003
Honda,Used,Petrol,44000,City IVTEC,1425000,Karachi,Cash,2013
Toyota,Used,Petrol,225000,Premio,1225000,Karachi,Cash,2003
Suzuki,Used,Petrol,10000,Every,880000,Karachi,Cash,2011
Suzuki,Used,CNG,10000,Mehran VXR,210000,Karachi,Cash,2005
Mercedes,New,Petrol,32999,Smart,1865000,Karachi,Cash,2015
